,line,module,job_id,state,time
1308,D,1,66,fetching_job,2022-02-18T01:00:00
686,D,1,66,processing,2022-02-18T01:03:20
1059,D,1,66,storing_job,2022-02-18T01:16:14.865000
597,D,2,66,waiting_on_precedent,2022-02-18T01:00:00
1228,D,2,66,fetching_job,2022-02-18T01:19:34.865000
647,D,2,66,processing,2022-02-18T01:22:54.865000
1336,D,2,66,storing_job,2022-02-18T01:38:19.934600
1327,D,3,66,waiting_on_precedent,2022-02-18T01:00:00
1318,D,3,66,fetching_job,2022-02-18T01:41:39.934600
145,D,3,66,processing,2022-02-18T01:44:59.934600
940,D,3,66,storing_job,2022-02-18T02:09:45.291199
1166,D,4,66,waiting_on_precedent,2022-02-18T01:00:00
704,D,4,66,fetching_job,2022-02-18T02:13:05.291200
288,D,4,66,processing,2022-02-18T02:16:25.291200
337,D,1,67,fetching_job,2022-02-18T01:19:34.865000
397,D,1,67,processing,2022-02-18T01:22:54.865000
541,D,1,67,storing_job,2022-02-18T01:39:19.539600
334,D,2,67,waiting_on_precedent,2022-02-18T01:41:39.934600
32,D,2,67,fetching_job,2022-02-18T01:42:39.539600
921,D,2,67,processing,2022-02-18T01:45:59.539600
916,D,2,67,storing_job,2022-02-18T01:54:08.300600
248,D,3,67,fetching_job,2022-02-18T02:13:05.291200
59,D,3,67,processing,2022-02-18T02:16:25.291200
111,D,3,67,storing_job,2022-02-18T02:43:28.931399
520,D,4,67,waiting_on_precedent,2022-02-18T02:29:22.540400
1274,D,4,67,fetching_job,2022-02-18T02:46:48.931399
1290,D,4,67,processing,2022-02-18T02:50:08.931399
1081,D,1,68,fetching_job,2022-02-18T01:42:39.539600
741,D,1,68,processing,2022-02-18T01:45:59.539600
914,D,1,68,storing_job,2022-02-18T01:58:42.483600
1294,D,2,68,waiting_on_precedent,2022-02-18T01:57:28.300600
889,D,2,68,fetching_job,2022-02-18T02:02:02.483600
1305,D,2,68,processing,2022-02-18T02:05:22.483600
777,D,2,68,storing_job,2022-02-18T02:17:39.201400
456,D,3,68,fetching_job,2022-02-18T02:46:48.931399
851,D,3,68,processing,2022-02-18T02:50:08.931399
913,D,3,68,storing_job,2022-02-18T03:04:46.316999
114,D,4,68,waiting_on_precedent,2022-02-18T03:05:55.458799
2,D,4,68,fetching_job,2022-02-18T03:08:06.316999
675,D,4,68,processing,2022-02-18T03:11:26.316999
247,D,1,69,fetching_job,2022-02-18T02:02:02.483600
623,D,1,69,processing,2022-02-18T02:05:22.483600
108,D,1,69,storing_job,2022-02-18T02:30:52.033600
496,D,2,69,waiting_on_precedent,2022-02-18T02:20:59.201400
472,D,2,69,fetching_job,2022-02-18T02:34:12.033600
309,D,2,69,processing,2022-02-18T02:37:32.033600
500,D,2,69,storing_job,2022-02-18T02:50:12.593400
973,D,3,69,fetching_job,2022-02-18T03:08:06.316999
1261,D,3,69,processing,2022-02-18T03:11:26.316999
55,D,3,69,storing_job,2022-02-18T03:31:32.722199
1304,D,4,69,waiting_on_precedent,2022-02-18T03:25:11.250199
1131,D,4,69,fetching_job,2022-02-18T03:34:52.722199
653,D,4,69,processing,2022-02-18T03:38:12.722199
690,D,1,70,fetching_job,2022-02-18T02:34:12.033600
771,D,1,70,processing,2022-02-18T02:37:32.033600
1375,D,1,70,storing_job,2022-02-18T02:46:21.326000
8,D,2,70,fetching_job,2022-02-18T02:53:32.593400
562,D,2,70,processing,2022-02-18T02:56:52.593400
1105,D,2,70,storing_job,2022-02-18T03:10:51.831800
709,D,3,70,fetching_job,2022-02-18T03:34:52.722199
1317,D,3,70,processing,2022-02-18T03:38:12.722199
501,D,3,70,storing_job,2022-02-18T04:04:38.215199
617,D,4,70,waiting_on_precedent,2022-02-18T03:54:08.786400
255,D,4,70,fetching_job,2022-02-18T04:07:58.215199
212,D,4,70,processing,2022-02-18T04:11:18.215199
543,D,1,71,fetching_job,2022-02-18T02:49:41.326000
869,D,1,71,processing,2022-02-18T02:53:01.326000
493,D,1,71,storing_job,2022-02-18T03:10:01.763600
48,D,2,71,fetching_job,2022-02-18T03:14:11.831800
394,D,2,71,processing,2022-02-18T03:17:31.831800
1354,D,2,71,storing_job,2022-02-18T03:29:36.628600
173,D,3,71,fetching_job,2022-02-18T04:07:58.215199
96,D,3,71,processing,2022-02-18T04:11:18.215199
392,D,3,71,storing_job,2022-02-18T04:29:11.105199
761,D,4,71,fetching_job,2022-02-18T04:34:42.508999
710,D,4,71,processing,2022-02-18T04:38:02.508999
558,D,1,72,fetching_job,2022-02-18T03:13:21.763600
1270,D,1,72,processing,2022-02-18T03:16:41.763600
682,D,1,72,storing_job,2022-02-18T03:27:04.039800
112,D,2,72,fetching_job,2022-02-18T03:32:56.628600
1360,D,2,72,processing,2022-02-18T03:36:16.628600
1311,D,2,72,storing_job,2022-02-18T03:51:58.387600
329,D,3,72,fetching_job,2022-02-18T04:32:31.105199
919,D,3,72,processing,2022-02-18T04:35:51.105199
106,D,3,72,storing_job,2022-02-18T06:16:06.441799
1128,D,4,72,waiting_on_precedent,2022-02-18T04:56:59.772399
452,D,4,72,fetching_job,2022-02-18T06:19:26.441799
1181,D,4,72,processing,2022-02-18T06:22:46.441799
1164,D,1,73,fetching_job,2022-02-18T03:30:24.039800
736,D,1,73,processing,2022-02-18T03:33:44.039800
414,D,1,73,storing_job,2022-02-18T03:49:54.409200
1271,D,1,73,idle,2022-02-18T03:53:14.409200
1117,D,2,73,fetching_job,2022-02-18T03:55:18.387600
1125,D,2,73,processing,2022-02-18T03:58:38.387600
899,D,2,73,storing_job,2022-02-18T04:12:35.241800
1230,D,2,73,idle,2022-02-18T04:15:55.241800
245,D,3,73,fetching_job,2022-02-18T06:19:26.441799
687,D,3,73,processing,2022-02-18T06:22:46.441799
323,D,3,73,storing_job,2022-02-18T06:39:20.653199
401,D,3,73,idle,2022-02-18T06:42:40.653199
417,D,4,73,fetching_job,2022-02-18T06:49:52.466199
790,D,4,73,processing,2022-02-18T06:53:12.466199
282,D,4,73,idle,2022-02-18T07:19:04.580399
